inci_name,function_inci,ph_min,ph_max,usage_level_min,usage_level_max
Sucrose Myristate,,-1.00,,,
Sucrose Ricinoleate,,-1.00,,,
TEA-Dextrin Octenylsuccinate,,-1.00,,,
TEA-Myristate,,-1.00,,,
Trideceth-8,,-1.00,,,
Trilaureth-9 Citrate,,-1.00,,,
Isopropylidenediphenyl Bisoxyhydroxypropyl Methacrylate/TMDI Copolymer,,-1.00,,,
Methoxy PEG-100/Polyepsilon Caprolactone,,-1.00,,,
Methyl Methacrylate/Acrylonitrile Copolymer,,-1.00,,,
Norbornanediamine/Resorcinol Diglycidyl Ether Crosspolymer,,-1.00,,,
PEG-150/Decyl Alcohol/SMDI Copolymer,,-1.00,,,
PEG-150/Stearyl Alcohol/SMDI Copolymer,,-1.00,,,
PEG-18 Glyceryl Oleate/Cocoate,,-1.00,,,
PEG-180/Laureth-50/TMMG Copolymer,,-1.00,,,
PEG-180/Octoxynol-40/TMMG Copolymer,,-1.00,,,
PEG-3/PPG-2 Glyceryl/Sorbitol Hydroxystearate/Isostearate,,-1.00,,,
PEG/PPG-150/30 Copolymer,,-1.00,,,
PEG/PPG-30/10 Maleimide/Styrene Copolymer,,-1.00,,,
"PEG-400/1,4-Butanediol/SMDI Copolymer",,-1.00,,,
PEG-6 Propylene Glycol Caprylate/Caprate,,-1.00,,,
PEG-7/PPG-2 Propylheptyl Ether,,-1.00,,,
PEG-8 Di/Triricinoleate,,-1.00,,,
PEG-8 Dimethicone/Dimer Dilinoleic Acid Copolymer,,-1.00,,,
PEG/PPG-1/2 Copolymer,,-1.00,,,
PEG/PPG-1/25 Diethylmonium Chloride,,-1.00,,,
PEG/PPG-10/2 Ricinoleate,,-1.00,,,
PEG/PPG-116/66 Copolymer,,-1.00,,,
PEG/PPG-14/4 Dimethicone,,-1.00,,,
PEG/PPG-17/4 Dimethyl Ether,,-1.00,,,
PEG/PPG-17/6 Copolymer,,-1.00,,,
PEG/PPG-18/4 Copolymer,,-1.00,,,
PEG/PPG-23/17 Copolymer,,-1.00,,,
PEG/PPG-240/60 Copolymer,,-1.00,,,
PEG/PPG-30/160 Copolymer,,-1.00,,,
PEG/PPG-32/3 Diricinoleate,,-1.00,,,
PEG/PPG-32/3 Ricinoleate,,-1.00,,,
PEG/PPG-32/8 Tetramethyl Ether Pentaerythritol,,-1.00,,,
PEG/PPG-35/9 Copolymer,,-1.00,,,
PEG/PPG-450/50 Trimethylolpropane Lauryl Ether,,-1.00,,,
PEG/PPG-5/30 Copolymer,,-1.00,,,
PEG/PPG-6/4 Dimethicone,,-1.00,,,
PEG/PPG-7/50 Copolymer,,-1.00,,,
PEG/PPG-8/3 Diisostearate,,-1.00,,,
PEG/PPG-8/55 Copolymer,,-1.00,,,
PEG/Poly-52/32 Dimethyl Ether,,-1.00,,,
Glycerin/Phthalic Acid Copolymer Hydroxypropyl C9-11 Isoalkyl Acidate,,-1.00,,,
Dilinoleic Acid/Glycol Copolymer,,-1.00,,,
PEG/PPG-75/25 Carbonic Acid Copolymer,,-1.00,,,
PEG/PPG/Butylene/Dimethicone Copolymer,,-1.00,,,
PPG-12/SMDI Copolymer,,-1.00,,,
PPG-35/PPG-51 Glyceryl Ether/IPDI Crosspolymer,,-1.00,,,
PPG-7/Succinic Acid Copolymer,,-1.00,,,
Phthalic Anhydride/Benzoic Acid/Glycerin Copolymer,,-1.00,,,
Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate,,-1.00,,,
Polyglyceryl-10 Eicosanedioate/Tetradecanedioate,,-1.00,,,
Polyglyceryl-10 Eicosanedioate/Tetradecanedioate Esters,,-1.00,,,
Polyglyceryl-10 Hydroxystearate/Stearate/Eicosadioate,,-1.00,,,
Hydrogenated Dicyclopentadiene/Isopentene/Isoprene Copolymer,,-1.00,,,
Caprylic/Capric Glycerides,,-1.00,,,
Polyglyceryl-10 Caprylate/Caprate,,-1.00,,,
Polyglyceryl-10 Mono/Dioleate,,-1.00,,,
Polyglyceryl-2 Isononanoate/Dimer Dilinoleate Copolymer,,-1.00,,,
Polyglyceryl-20 Octadecabehenate/Hydroxystearate,,-1.00,,,
Polyglyceryl-3 Stearate/Sebacate Crosspolymer,,-1.00,,,
Polyglyceryl-4 Isostearate/Laurate,,-1.00,,,
Polyglyceryl-4 Laurate/Sebacate,,-1.00,,,
Polyglyceryl-6 Palmitate/Succinate,,-1.00,,,
Sodium Caproyl/Lauroyl Lactylate,,-1.00,,,
Sodium MA/Diisobutylene Copolymer,,-1.00,,,
PPG-17/IPDI/DMPA Copolymer,,-1.00,,,
Sodium Styrene/Acrylates/Divinylbenzene Copolymer,,-1.00,,,
Sodium Trimethylpentene/MA Copolymer,,-1.00,,,
Steareth-100/PEG-136/HDI Copolymer,,-1.00,,,
Sucrose Acetate/Stearate,,-1.00,,,
TEA-Acrylates/Acrylonitrogens Copolymer,,-1.00,,,
TEA-Acrylates/Ethylhexyl Acrylate Copolymer,,-1.00,,,
TIPA-Acrylates/Ethylhexyl Acrylate Copolymer,,-1.00,,,
Trimethylpentanediol/Adipic Acid/Isononanoic Acid Copolymer,,-1.00,,,
VA/Crotonates Copolymer,,-1.00,,,
VA/Crotonates/Vinyl Propionate Copolymer,,-1.00,,,
Fenozolone,,-1.00,,,
Butadiene/Isoprene Copolymer,,-1.00,,,
Glyceryl Stearate/Acetate,,-1.00,,,
Isophoronediamine/Isophthalic Acid/Pentaerythritol Copolymer,,-1.00,,,
PEG/PPG-10/2 Diricinoleate,,-1.00,,,
PEG/PPG-100/70 Tocopheryl Ether,,-1.00,,,
PEG/PPG-20/22 Methyl Ether Dimethicone,,-1.00,,,
PEG/PPG-6/2 Glyceryl Cocoate,,-1.00,,,
PEG/PPG-8/3 Laurate,,-1.00,,,
Polydiethyleneglycol Adipate/IPDI Copolymer,,-1.00,,,
Polyglyceryl-3 Caprate/Caprylate/Succinate,,-1.00,,,
Sucrose Hexaoleate/Hexapalmitate/Hexastearate,,-1.00,,,
VP/Vinyl Caprolactam/DMAPA Acrylates Copolymer,,-1.00,,,
Adipic Acid/CHDM/MA/Neopentyl Glycol/Trimellitic Anhydride Copolymer,,-1.00,,,
Ethyl Ester of PVM/MA Copolymer,,-1.00,,,
Caryocar Brasiliense Fruit Oil,skin conditioning,,,0.500,100.000
Glycereth-7/IPDI Copolymer,,-1.00,,,
Acrylates/Stearyl Acrylate/Ethylamine Oxide Methacrylate Copolymer,,-1.00,,,
Glycerin/Dimer Dilinoleate Copolymer,,-1.00,,,
Glyceryl Palmitate/Stearate,,-1.00,,,
Methylglucose Dioleate/Hydroxystearate,,-1.00,,,
PEG-10 Acrylate/Perfluorohexylethyl Acrylate Copolymer,,-1.00,,,
PEG-4-PPG-7 C13/C15 Alcohol,,-1.00,,,
PEG/PPG-30/33 Copolymer,,-1.00,,,
Sodium Styrene/Acrylates/Ethylhexyl Acrylate/Lauryl Acrylate Copolymer,,-1.00,,,
PEG-22/Dodecyl Glycol Copolymer,,-1.00,,,
PEG-240/HDI Copolymer Bis-Decyltetradeceth-20 Ether,,-1.00,,,
PEG-45/Dodecyl Glycol Copolymer,,-1.00,,,
PEG-6 Caprylic/Capric Glycerides,,-1.00,,,
PEG-6 Laurate/Tartrate,,-1.00,,,
PEG-8 Caprylate/Caprate,,-1.00,,,
PEG/PPG-200/70 Copolymer,,-1.00,,,
PEG/PPG-38/8 Copolymer,,-1.00,,,
Phthalic Anhydride/Glycerin/Glycidyl Decanoate Copolymer,,-1.00,,,
Phthalic Anhydride/Trimellitic Anhydride/Glycols Copolymer,,-1.00,,,
Polyglyceryl-10 Behenate/Eicosadioate,,-1.00,,,
Polyglyceryl-2 Isostearate/Dimer Dilinoleate Copolymer,,-1.00,,,
Methylparaben,Preservative,3.00,8.00,0.050,0.400
Imidazolidinyl Urea,Preservative,3.00,9.00,0.100,0.600
Polyglyceryl-3 Dicitrate/Stearate,,-1.00,,,
Polyglyceryl-3 Sunflowerseedate/Citrate Crosspolymer,,-1.00,,,
Polyglyceryl-4 Caprylate/Caprate,,-1.00,,,
Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate,,-1.00,,,
Polyglyceryl-4 Pentapalmitate/Stearate,,-1.00,,,
Polyglyceryl-6 Caprylate/Caprate,,-1.00,,,
Steareth-10 Allyl Ether/Acrylates Copolymer,,-1.00,,,
VA/Crotonates/Vinyl Neodecanoate Copolymer,,-1.00,,,
Diazolidinyl Urea,preservative,-1.00,,,
Chondrus Crispus Extract,"moisturizer/humectant, viscosity controlling",,,,
2-[(4-Chloro-2-nitrophenyl)amino]ethanol,Colorant,,,,
"1,2-Hexanediol",,-1.00,,,
Pentylene Glycol,"Humectant, Skin Conditioning Agent, Solvent",-1.00,,1.000,10.000
P-Anisic Acid,preservative,-1.00,,,
Undecylenic Acid,"surfactant/cleansing, emulsifying, preservative, surfactant/cleansing",-1.00,,,
Caprylyl Glycol,Skin Conditioning Agent,-1.00,,0.500,5.000
Iodopropynyl Butylcarbamate,preservative,-1.00,,,
Sodium Dehydroacetate,Preservative,3.00,8.00,0.100,0.600
Climbazole,Antidandruff,-1.00,,0.100,0.500
Piroctone Olamine,preservative,-1.00,,,
Chlorphenesin,Preservative,3.00,9.00,0.100,0.300
Sodium Levulinate,"Skin Conditioning, Preservative",4.00,5.00,0.300,1.000
Benzoic acid and its sodium salt,,-1.00,,,
"1,5-Naphthylenediamine",,-1.00,,,
1-(1-Naphthylmethyl)quinolinium chloride,,-1.00,,,
"2,2'-((3-Chloro-4-((2,6-dichloro-4-nitrophenyl)azo)phenyl)imino)bisethanol",,-1.00,,,
"2,2'-Dihydroxy-3,3',5,5',6,6'-hexachlorodiphenylmethane",,-1.00,,,
"2,2,2-Tribromoethanol (Tribromoethyl Alcohol)",,-1.00,,,
"2,4,5-Trichlorophenol",,-1.00,,,
Benzoic acid Sodium benzoate,,-1.00,,,
Potassium Propionate,,-1.00,,,
Castor Isostearate Beeswax Succinate,skin conditioning,,,0.000,
2-(4-tert-Butylphenyl)ethanol,,-1.00,,,
"2-Bromo-2-Nitropropane-1,3-Diol",,-1.00,,,
2-Naphthylammonium acetate,,-1.00,,,
"2-Nitro-4-cresol; Phenol, 4-methyl-2-nitro-",,-1.00,,,
2-Nitro-N-Hydroxyethyl-p-Anisidine,,-1.00,,,
2-Nitro-m-Cresol,,-1.00,,,
"3,4-Dichlorobenzyl Alcohol",,-1.00,,,
"3-Ethyl-2-methyl-2-(3-methylbutyl)-1,3-Oxazolidine",,-1.00,,,
Dichlorobenzyl Alcohol,,-1.00,,,
2-[(4-Chloro-2-nitrophenyl)azo)-N-(2-methoxyphenyl)-3-oxobutanamide,Colorant,,,,
Castor Oil/IPDI Copolymer,,,,1.000,20.000
3-Nitro-P-Cresol,,-1.00,,,
4'-Ethoxy-2-benzimidazoleanilide,,-1.00,,,
"4,4'-Thiodianiline and its salts",,-1.00,,,
"4,4-Diamino diphenylamine sulfate",,-1.00,,,
"4,5-Dibromosalicylanilide",,-1.00,,,
4-Ethylamino-3-nitrobenzoic acid (N-Ethyl-3-Nitro PABA) and its salts,,-1.00,,,
4-Hydroxybenzoic Acid,preservative,-1.00,,,
4-Isopropyl-m-cresol,,-1.00,,,
4-Nitrophenyl Aminoethylurea(and its salts),,-1.00,,,
4-tert-Butylphenol,,-1.00,,,
"Carbonic acid, dithio-, O-isopropyl ester, potassium salt; Isopropyl potassium xanthate",,-1.00,,,
Hexachlorophene,,-1.00,,,
4-t-Butylbenzoic Acid,,-1.00,,,
"5-(alpha,beta-Dibromophenethyl)-5-Methylhydantoin",,-1.00,,,
"6-Nitro-2,5-pyridinediamine and its salts",,-1.00,,,
"6-Nitro-m-cresol; Phenol, 5-methyl-2-nitro-",,-1.00,,,
7-Ethylbicyclooxazolidine,preservative,-1.00,,,
"Binapacryl(2-sec-Butyl-4,6-Dinitrophenyl-3-Methylcrotonate)",,-1.00,,,
"3',6'-Dihydroxy-4',5'-diiodospiro(isobenzofuran-1(3H),9'-[9H]xanthene)-3-one; (Solvent Red 73) and its sodium salt (Acid Red 95; CI 45425)",Colorant,,,,
"2,2'-(Nitrosoimino)bisethanol",,-1.00,,,
Aluminum Diacetate,"antimicrobial/antibacterial, astringent",-1.00,,,
"3,7-bis(Dimethylamino)-Phenothiazin-5-ium and its salts",,-1.00,,,
Aluminum Benzoate,"antimicrobial/antibacterial, viscosity controlling",-1.00,,,
Aluminum Sesquichlorohydrex PG,,-1.00,,,
Ambenonium Chloride,,-1.00,,,
"Aminosalicylate Sodium; Benzoic acid, 4-amino-2-hydroxy-, monosodium salt, dihydrate",,-1.00,,,
Ammonium Benzoate,preservative,-1.00,,,
Ammonium Bisulfite,,-1.00,,,
Anthranilic Acid,Colorant,,,,
4-[(4-Nitrophenyl)azo]aniline,Colorant,,,,
Antibiotics,,-1.00,,,
Benzalkonium Chloride,"antimicrobial/antibacterial, preservative, surfactant/cleansing, deodorant",-1.00,,,
Benzalkonium Saccharinate,,-1.00,,,
Chrysene,,-1.00,,,
"Chrysoidine Dihydrochloride; 4-(Phenylazo)benzene-1,3-diamine dihydrochloride",Colorant,,,,
Nitrocresols,,-1.00,,,
Phenyl Mercuric Borate,,-1.00,,,
Benzilonium Bromide,,-1.00,,,
Benzimidazol-2(3H)-one,,-1.00,,,
Benzisothiazolinone,antimicrobial/antibacterial,-1.00,,,
Benzoates,,-1.00,,,
Benzoates of 4-hydroxy-3-methoxycinnamyl alcohol,,-1.00,,,
Benzoates of 4-hydroxy-3-methoxycinnamyl alcohol except for normal content in natural essences used,,-1.00,,,
"Benzoic acid, its salts and esters",,-1.00,,,
Benzoxonium Chloride,,-1.00,,,
Benzoyl Isopropanol,,-1.00,,,
"Benzyl 2,4-Dibromobutanoate",,-1.00,,,
Carbutamide,,-1.00,,,
"Benzalkonium chloride, bromide and saccharinate (9)",,-1.00,,,
"Benzoic acid (CAS No. 65-85-0), and its sodium salt (CAS No 532-32-1)",,-1.00,,,
Benzylhemiformal,,-1.00,,,
"5-Bromo-5-Nitro-1,3-Dioxane",,-1.00,,,
Benzyl 4-hydroxybenzoate (INCI: Benzylparaben),,-1.00,,,
Bezitramide,,-1.00,,,
Binapacryl,,-1.00,,,
Biphenamine and its salts,,-1.00,,,
Bithionol,,-1.00,,,
Boric Acid,"antimicrobial/antibacterial, buffering",-1.00,,,
Boric acid and its salts,,-1.00,,,
Bromine,,-1.00,,,
Bromobenzyl cyanide,,-1.00,,,
Bromoxynil,,-1.00,,,
Oxyquinoline Benzoate,,-1.00,,,
Caviar Oil,"hair conditioning, skin conditioning, skin conditioning - emollient",,,0.000,
PIGMENT RED 53(Lake RED CBa),Colorant,,,,
Butylated Polyoxymethylene Urea,,-1.00,,,
Butylparaben,preservative,-1.00,,,
Calcium Benzoate,,-1.00,,,
Calcium Nitrite,,-1.00,,,
Calcium Paraben,,-1.00,,,
Calcium Propionate,,-1.00,,,
Calcium Sorbate,,-1.00,,,
Camphor Benzalkonium Methosulfate,,-1.00,,,
Caprylylalkonium Chloride,,-1.00,,,
Captafol,,-1.00,,,
Captan,,-1.00,,,
Carbendazim,,-1.00,,,
Polylysine HBr,,-1.00,,,
Chloramine T,antimicrobial/antibacterial,-1.00,,,
Chlordimeform,,-1.00,,,
"Chlorhexidine (INN) and its digluconate,diacetate and dihydrochloride",,-1.00,,,
Chlorhexidine Diacetate,"antimicrobial/antibacterial, preservative",-1.00,,,
Chlorhexidine Dihydrochloride,"antimicrobial/antibacterial, preservative",-1.00,,,
Chlorhexidine and its salts,,-1.00,,,
Chlorine,,-1.00,,,
Chlorobezilate,,-1.00,,,
Chlorophene,"antimicrobial/antibacterial, preservative",-1.00,,,
Chloropicrine,,-1.00,,,
Chlorothalonil,,-1.00,,,
Chlorothymol,,-1.00,,,
Chloroxylenol,"antimicrobial/antibacterial, preservative, deodorant",-1.00,,,
Chromyl Dichloride; Chromic Oxychloride,,-1.00,,,
Cinchophen sodium salt; Sodium 2-phenyl-4-quinolinecarboxylate,,-1.00,,,
Cloflucarban,,-1.00,,,
Colloidal Silver,antimicrobial/antibacterial,-1.00,,,
Creosote,,-1.00,,,
Cuprous Oxide,,-1.00,,,
Cycloheximide,,-1.00,,,
Cyhexatin,,-1.00,,,
DIBROMOHEXAMIDINE ISETHIONATE,preservative,-1.00,,,
DM Hydantoin,viscosity controlling,-1.00,,,
DMHF,,-1.00,,,
Decamethonium Iodide,,-1.00,,,
Dequalinium Chloride,"antimicrobial/antibacterial, deodorant",-1.00,,,
Chromated Copper Arsenate,,-1.00,,,
Denatonium Saccharide,,-1.00,,,
Dequalinium Acetate,,-1.00,,,
Dibromocyanoacetamide,,-1.00,,,
Dibromohexamidine and its salts (including isothionate),,-1.00,,,
Dibromopropamidine Diisethionate,antimicrobial/antibacterial,-1.00,,,
"Dibromsalan; 4',5-Dibromosalicylanilide",,-1.00,,,
Dichloro-m-Xylenol,,-1.00,,,
Dichlorobenzene,,-1.00,,,
Dichloroethylenes,,-1.00,,,
Dichlorophene,,-1.00,,,
Dichlorosalicylanilides,,-1.00,,,
Diethyl Ketoglutarate,,-1.00,,,
Octylisothiazolinone,,-1.00,,,
Denatonium Benzoate,"denaturant, masking",-1.00,,,
Bromoxynil Heptanoate,,-1.00,,,
Dihydrogenated Tallow Benzylmonium Chloride,,-1.00,,,
Ceratonia Siliqua Fruit Extract,"masking, skin conditioning",,,0.000,
Diiodomethyltolylsulfone,,-1.00,,,
Dimethyl Oxazolidine,,-1.00,,,
Dimethyltolylamine,,-1.00,,,
Dinocap (ISO),,-1.00,,,
Dinoterb,,-1.00,,,
Disodium Salicylphosphate,,-1.00,,,
PNA-15 Carboxyethyl Fluorene,Colorant,,,,
"Formaldehyde,？paraformaldehyde？",,-1.00,,,
Bromoform(Tribromomethane),,-1.00,,,
Dibromopropamidine,,-1.00,,,
Diuron,,-1.00,,,
PIGMENT RED 53:1,Colorant,,,,
Enterococcus Faecalis,,-1.00,,,
"Ethanol, 2-[(4-Amino-2-Methyl-5-Nitrophenyl)Amino]-",,-1.00,,,
Ethionamide,,-1.00,,,
Ethyl Lauroyl Arginate,,-1.00,,,
Ethyl Lauroyl Arginate Acetylphenoxide,,-1.00,,,
Ethyl Lauroyl Arginate Laurate,,-1.00,,,
Ethyl Persate,,-1.00,,,
Ethyl Tosylamide,,-1.00,,,
Ethylene Thiourea,,-1.00,,,
Ethylhexeth-3 Carboxylic Acid,,-1.00,,,
"4-Ethoxybenzene-1,3-diammonium dichloride",,-1.00,,,
Fentin Hydroxide,,-1.00,,,
Flusilazole,,-1.00,,,
"Formaldehyde,？paraformaldehyde (3)？",,-1.00,,,
Formic Acid,,-1.00,,,
Furtrethonium Iodide,,-1.00,,,
Glucoheptonolactone,,-1.00,,,
Glutaral,,-1.00,,,
Glycereth-18 Benzoate,,-1.00,,,
Glyceryl Thiopropionate,,-1.00,,,
Glyoxal,,-1.00,,,
Halogenated salicylanilide,,-1.00,,,
Halogeno salicylanilide,,-1.00,,,
"Phenol, 4-methyl-2-nitro-",,-1.00,,,
Hexamethonium Bromide,,-1.00,,,
Hexamethonium Chloride; Hexamethylene(bistrimethylammonium)chloride,,-1.00,,,
Hexamethonium Iodide,,-1.00,,,
Hexamidine,,-1.00,,,
Hexamidine Diparaben,,-1.00,,,
Hexamidine Paraben,,-1.00,,,
Hexamidine and its salts,,-1.00,,,
Hexetidine,,-1.00,,,
Hippuric Acid,,-1.00,,,
Hydroxyectoin,,-1.00,,,
Hydroxypyridinone and its salts,,-1.00,,,
Imidazolidine-2-thione,,-1.00,,,
Methenammonium Chloride,,-1.00,,,
Sodium Azide,,-1.00,,,
Hypochlorous Acid,,-1.00,,,
Imidazolidine-2-thione (Ethylene thiourea),,-1.00,,,
Imidazolylmethyl Pyrrolopiperazinedione,,-1.00,,,
"Inorganic nitrites, with exception of sodium nitrite",,-1.00,,,
Iodoform,,-1.00,,,
Iprodione,,-1.00,,,
Isobutylparaben,,-1.00,,,
Isobutyric Acid,,-1.00,,,
Isodecylparaben,,-1.00,,,
Isopropyl Cresols,,-1.00,,,
Isopropyl Sorbate,,-1.00,,,
Isopropyl cresols(4-Isopropyl-m-cresol),,-1.00,,,
Isopropylbenzyl Butylnorberberine Iodide,,-1.00,,,
Isopropylparaben,,-1.00,,,
PNA-14 Carboxyethyl Fluorene,Colorant,,,,
Kresoxim-methyl,,-1.00,,,
Lauralkonium Bromide,,-1.00,,,
Leuconostoc Ferment Filtrate,,-1.00,,,
MDM Hydantoin,,-1.00,,,
MEA o-Phenylphenate,,-1.00,,,
MEA-Benzoate,,-1.00,,,
MIPA-Borate,,-1.00,,,
Magnesium Nitrate,,-1.00,,,
Magnesium Propionate,,-1.00,,,
Maleic Hydrazide,,-1.00,,,
Mercuric Chloride,,-1.00,,,
"Metabromsalan; 3,5-Dibromosalicylanilide",,-1.00,,,
Sulfamazone,,-1.00,,,
"3,3’-Dibromo-4,4’-hexamethylene dioxydibenzamidine and its salts (including isethionate)",,-1.00,,,
Methenamine,,-1.00,,,
Methenamine 3-chloroallylochloride,,-1.00,,,
Methoxyphenamine,,-1.00,,,
Methoxyphenyl t-Butylphenyl Propanediol,,-1.00,,,
Methyl Dihydroxybenzoate,,-1.00,,,
Methylbenzethonium Chloride,,-1.00,,,
Methylbenzyl Alcohol,,-1.00,,,
Methylchloroisothiazolinone,,-1.00,,,
Methyldibromo Glutaronitrile,,-1.00,,,
Methylisothiazolinone,,-1.00,,,
Mixed Cresols,,-1.00,,,
Mixed cresols and derivatives,,-1.00,,,
"O,O'-Diethyl-O-4-nitrophenyl phosphorothioate",,-1.00,,,
Monuron,,-1.00,,,
Formaldehyde,,-1.00,,,
Myclobutanil,,-1.00,,,
"N,N'-((Methylimino)dimethylene))bis(ethyl dimethylamine) salt (e.g. Azamethonium Bromide)",,-1.00,,,
"N,N-Dimethyl-2,6-pyridinediamine and its HCl salt",,-1.00,,,
"N-(Trichloromethylthio)-4-cyclohexene-1,2-dicarboximide (Captan)",,-1.00,,,
N-5-chlorobenzoxazol-2-ylacetamide,,-1.00,,,
Nisin,,-1.00,,,
Nitroxoline,,-1.00,,,
Nitroxoline and its salts,,-1.00,,,
Dimethyl Hydroxymethyl Pyrazole,,-1.00,,,
"3,5-Dichlorosalicylanilide",,-1.00,,,
Azamethonium Bromide,,-1.00,,,
"O,O'-Diethyl-O-4-nitrophenyl phosphorothioate (Parathion - ISO)",,-1.00,,,
PNA-10 Carboxyethyl Fluorene,Colorant,,,,
Octamoxin,,-1.00,,,
Octenidine HCl,,-1.00,,,
Oxothiazolidine,,-1.00,,,
Oxyquinoline Sulfate,,-1.00,,,
Oxyquinoline(Hydroxy-8-Quinoline or Quinoline-8-ol) and its sulfate,,-1.00,,,
PEG-15 DEDM Hydantoin,,-1.00,,,
PEG-5 DEDM Hydantoin,,-1.00,,,
PEG-5 Tallow Benzonium Chloride,,-1.00,,,
Bismuth Citrate,,-1.00,,,
Palmitamidobutyl Guanidine Acetate,,-1.00,,,
Bis Bis Melamine HCl,,-1.00,,,
Pediococcus,,-1.00,,,
Pelargonic Acid,,-1.00,,,
Pelletierine and its salts,,-1.00,,,
Pentachlorophenol,,-1.00,,,
Pentamethonium Bromide,,-1.00,,,
Pentyl 4-hydroxybenzoate (INCI: Pentylparaben),,-1.00,,,
Phenethyl Alcohol,,-1.00,,,
Phenindione,,-1.00,,,
Phenol,,-1.00,,,
"Phenol, 5-methyl-2-nitro-",,-1.00,,,
Phenothiazine,,-1.00,,,
Butyl Phthalyl Butyl Glycolate,,-1.00,,,
Phenoxyethylparaben,,-1.00,,,
Citrus Aurantium Bergamia Fruit Water,skin conditioning,,,,
Phenoxyisopropanol,,-1.00,,,
Phenoxypropanediol,,-1.00,,,
Phenyl 4-hydroxybenzoate (INCI: Phenylparaben),,-1.00,,,
Phenyl Benzoate,,-1.00,,,
Phenyl Mercuric Acetate,,-1.00,,,
Phenyl Mercuric Bromide,,-1.00,,,
Phenyl Mercuric Chloride,,-1.00,,,
Phenylhydrazinium Chloride,,-1.00,,,
Phenylmercury and its salts,,-1.00,,,
Phenylpropanol,,-1.00,,,
Pipazetate and its salts,,-1.00,,,
Piperonyl Butoxide,,-1.00,,,
Piperonyl Glucoside,,-1.00,,,
Ceteareth-30,"surfactant/cleansing, emulsifying",,,0.500,10.000
PIGMENT YELLOW 73,Colorant,,,,
Poly(1-Hexamethylenebiguanide) hydrochloride,,-1.00,,,
Poly(1-hexamethylenebiguanide hydrochloride),,-1.00,,,
Polyaminopropyl Biguanide Stearate,,-1.00,,,
Polylysine,,-1.00,,,
Potassium Azide,,-1.00,,,
Potassium Benzoate,,-1.00,,,
Potassium Butylparaben,,-1.00,,,
Potassium Caroate,,-1.00,,,
Potassium Ethylparaben,,-1.00,,,
Potassium Metabisulfite,,-1.00,,,
Potassium Methylparaben,,-1.00,,,
Potassium Nitrate,,-1.00,,,
Potassium Nitrite,,-1.00,,,
Potassium Paraben,,-1.00,,,
Potassium Propylparaben,,-1.00,,,
Potassium Troclosene,,-1.00,,,
Potassium o-Phenylphenate,,-1.00,,,
Propargite,,-1.00,,,
Propiolactone,,-1.00,,,
Propionic acid and its salts,,-1.00,,,
Propiram,,-1.00,,,
Pyrethrins,,-1.00,,,
Pyrethrum album L,,-1.00,,,
Pyrethrum album L. and its galenical preparations,,-1.00,,,
Pymetrozine,,-1.00,,,
Formaldehyde/Melamine/Tosylamide Copolymer,,-1.00,,,
Pyrithione Sodium(INNM),,-1.00,,,
"Quaternary ammonium compounds, benzyl-C12-16-alkyldimethyl, chlorides",,-1.00,,,
"Quaternary ammonium compounds, benzyl-C8-18-alkyldimethyl, chlorides",,-1.00,,,
Quaternium-14,,-1.00,,,
Quaternium-15,,-1.00,,,
Quaternium-51,,-1.00,,,
Quaternium-73,,-1.00,,,
Quinoline-8-ol,,-1.00,,,
Salicyloyl D-Lysinyl D-Valinyl D-Phenylalanyl D-Leucine,,-1.00,,,
Silver Hydroxide,,-1.00,,,
Silver Oxide,,-1.00,,,
Silver Sulfate,,-1.00,,,
Silver-Copper Zeolite,,-1.00,,,
Sodium Anisate,,-1.00,,,
Sodium Bis-Hydroxyethylglycinate Lauryl-Glucosides Crosspolymer,,-1.00,,,
Sodium Bischlorophenyl Sulfamine,,-1.00,,,
Sodium Butylparaben,,-1.00,,,
Sodium Chlorite,,-1.00,,,
Sodium Ethylparaben,,-1.00,,,
Sodium Ferrocyanide,,-1.00,,,
Sodium Hexacyclonate,,-1.00,,,
Sodium Hypochlorite,,-1.00,,,
Sodium Isobutylparaben,,-1.00,,,
Sodium Isopropylparaben,,-1.00,,,
Sodium Magnesium SIlver Phosphate,,-1.00,,,
Sodium Metabisulfite,,-1.00,,,
Sodium Methylparaben,,-1.00,,,
Citrus Grandis Leaf Extract,"perfuming, astringent",,,,
Sodium Nitrate,,-1.00,,,
Sodium Nitrite,,-1.00,,,
Sodium Paraben,,-1.00,,,
Sodium Piperazinoethyl Acetate Ethylsulfonate,,-1.00,,,
Sodium Propylparaben,,-1.00,,,
Sodium Stearyl Dimethyl Glycine,,-1.00,,,
Sodium Sulfanilate,,-1.00,,,
Sodium Zinc Taurine Dithiooctanamide,,-1.00,,,
Sodium o-Phenylphenate,,-1.00,,,
Sodium p-Chloro-m-Cresol,,-1.00,,,
"Sorbic acid (hexa-2,4-dienoic acid) and its salts",,-1.00,,,
Sorbic acid and sorbate,,-1.00,,,
Sorbitan Hexa-Guanidinohexanoate Trifluoroacetate,,-1.00,,,
Sulfacetamide sodium,,-1.00,,,
Steapyrium Chloride,,-1.00,,,
Sulfadiazine,,-1.00,,,
Sulfaguanidine,,-1.00,,,
Sulfalene,,-1.00,,,
Sulfallate,,-1.00,,,
Sulfametrole,,-1.00,,,
